var_id,relevance
31585971,Yes
30620075,Yes
31600252,Yes
30793373,Yes
30234014,Yes
32345457,No
32072750,Yes
32033800,No
31903586,Yes
31726643,Yes
31695736,Yes
31621201,Yes
31384996,Yes
31352419,Yes
31267897,No
31196575,No
31183452,Yes
30973992,Yes
30967586,Yes
30956165,Yes
30850406,Yes
30830974,Yes
30819287,No
30745135,Yes
30735962,Yes
30676198,No
30582640,Yes
30570764,Yes
30489321,Yes
30399137,Yes
30321948,No
30286646,No
30236228,Yes
30128903,No
29122928,Yes
29105078,Yes
32021696,No
31630664,No
31519896,No
29561180,No
29100900,No
33062652,No
32502207,No
32468912,No
32341509,No
32318915,No
32316867,No
32268910,No
32168986,No
32168207,No
32167369,No
32106081,No
32035229,No
32031842,No
32015848,No
31986952,No
31967056,No
31880449,No
31829656,No
31702349,No
31665558,No
31618032,No
31597936,No
31584838,No
31583771,No
31511546,No
31491300,No
31491254,No
31477919,No
31449178,No
31434518,No
31407186,No
31367508,No
31338120,No
31298882,No
31294786,No
31050493,No
30998100,No
30998044,No
30997751,No
30944383,No
30918328,No
30872971,No
30846527,No
30837169,No
32704851,No
30733479,No
30698921,No
30665776,No
30649334,No
30517796,No
30517793,No
30468613,No
30456380,No
30395135,No
30362803,No
30341367,No
30250168,No
30243803,No
30239552,No
30235814,No
30215627,No
30201675,No
30192593,No
30173763,No
30141662,No
30119014,No
30043395,No
29947507,No
29905727,No
29892071,No
29790945,No
29777108,No
29761851,No
29756910,No
29751734,No
29670528,No
29620862,No
29616832,No
29615014,No
29610436,No
29482622,No
29471498,No
29470182,No
29461136,No
29447010,No
29432141,No
29401298,No
29386377,No
29295919,No
30968860,No
30958487,No
30872957,No
30872955,No
30872953,No
29281600,No
29277628,No
29183661,No
29091527,No
28856661,No
28833186,No
28826033,No
28595018,No
27463979,No
32849443,No
32255936,No
32235552,No
32098744,No
32070416,No
32052420,No
32016379,No
31993553,No
31986439,No
31966991,No
31964840,No
31959335,No
31955483,No
31950199,No
31948727,No
31923737,No
31888268,No
34386586,No
31879172,No
31761463,No
31722201,Yes
31694974,No
31641275,No
31640771,No
31639358,No
31613206,No
31612368,No
31597160,Yes
31568430,No
31560378,Yes
33089177,No
31445408,No
31439114,Yes
31434720,No
31420504,No
31390583,No
31387730,Yes
31351345,No
31330267,No
31292008,No
31285231,No
31272973,No
31235959,No
31225789,No
31218779,No
31195776,No
31127817,No
31125099,No
31103533,No
31084486,No
31006575,No
30988646,No
30968526,No
30944871,No
30940187,No
30904132,No
30886376,No
30850367,Yes
30841866,No
30827379,No
30819215,No
30815588,No
30798375,No
30790101,No
30759229,No
30746772,Yes
30709960,No
30696529,No
30656658,Yes
30647160,No
30642903,No
30620312,No
30590583,No
30564441,No
30427304,No
30412857,No
30412252,No
30395257,No
30305729,No
30279289,No
30257953,No
30201386,No
30197728,No
30165441,No
30157436,No
30139924,No
30129753,No
33693319,No
30088217,No
30082329,No
30045623,No
30044021,No
30038246,No
30016566,No
29911503,Yes
29794045,No
29784604,Yes
29777634,No
29775474,No
29751843,No
29695870,No
29690995,Yes
29630730,Yes
29629082,No
29615502,No
29615488,No
29582124,No
29560514,No
29547381,No
29533815,No
29501136,No
29484467,No
29463653,No
29449152,No
29426293,No
29414776,No
29321301,No
29249299,No
29228229,No
29211477,No
29196180,No
29028890,No
28866762,No
28509353,No
28403669,No
28326609,No
26621035,No
